url,label
www.linuxplanet.com/linuxplanet/reviews/4149/1/,1
sdnmargorejo1-403.sch.id/images/login.alibaba.com/login.html?id=MC1IDX1gEM--h6BmklV77yUjPz71wiS-VpYO1tv3CYQmXmLbAQz8Y5KvFCNlTWFzK6mY8aa,1
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7crqxN6vyE3RHTAotPROXAqwhT9cVvo-tLetQcNIY6x4a__8mz0iVsvYEBF0z7NWiKokWWDW040qyLCtugasnltF_6Z5AFmEhuH-iFo4fZLyTiZgJ3Nldf5vaZpzJkrN2b9WNByaBdaSa32inZRl1LadZve9-P7irf2nrlHeMXdqPkad0c13BRZncslU7RD5_1cglD9jxX44Qk7g2WkLT3B9mBiY2Q\%3D\%3D&amp;attredirects=0',0
everyculture.com/Ma-Ni/New-Zealand.html,0
www.aoseocn.acseosn.selfie.ltd/,1
www453.paypal.ca.47468.securessl-510.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,0
traveltotre.in/2c4ykij7,1
mlsplayerworkouts.com/braz,0
ftp.iza.org,0
www.aimeazcn-co.jp.9chcotyf.design/?account_login?=thefjq1zdra8l9g%amazon.co.jp=7zrh%EMAIL?%tdsw7c%jixnfdkgf,1
muhammadgroup.com/09uk381/01.php,1
familysearch.org/Eng/Search/ancestorsearchresults.asp?standardize=N&last_name=Bourcier,0
mp3ye.eu/231173_kat-tun-rescue-mp3-download.html,0
tools.ietf.org/html/rfc1437,1
www.drive.google.com/file/d/1rngxZ2sujNVYSoKmCvjpUZyljRdSeTVc/view?usp=sharing_eil&ts=5e457ab9,1
wright.edu/music/news/fall2007/holidays.html,0
federalregister.gov/articles/1997/01/13/97-00126/notice-of-federal-home-loan-bank-members-selected-for-community-support-review,0
heretheycome.cc/alinew/gogu12.php,1
www.osnews.com/story/1864,1
allanwessel.info/AllFamilyHTML/d_6f.html,0
confirmpaypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c0db1f8e263663d3faee8d7283e7f0184a5674430.freemaclinkleri.tk/cfe3ecb07783784eaa86d1e17eac9534/52858a73b4ff1755c15d13ddd2903e28/,1
www.google.com/corporate/software_principles.html,1
gamasutra.com/view/pressreleases/60340/CHANNEL_4_LAUNCHES_BATTLE_OF_BRITAIN_303_SQUADRON_ndash_ANEW_FLASH_GAME_BASED_ON_A_TEAM_OF_POLISH_FIGHTER_PILOTS_WHO_FOUGHTFOR_BRITAIN_IN_WORLD_W.php,0
learnfromstevenison.com/main/wp-includes/pomo/made.htm,1
en.wikipedia.org/wiki/TTA,1
adhostingcache.com/ehhe/eh4g4/adcache.txt,1
akwadrat.pl/images/plugins/dropbox/dropbox/dropbox/dropbox/dropbox/,1
tant.co.kr/gallery/o2shop/O2_security_update.html/,1
www.sjgames.com/pyramid/sample.html?id=1,1
www.home.comcast.net/~avillaseb/partnerId2siteid0pageType1pa1i11UsingSSL1k1favoritenavhttp3A2F2F2FppbshowgifpartnerId2siteid0pageType1pa1i11UsingSSL1k1favoritenavhttp3A2F2F2Fppbshowgif.html,1
www.tracylalla.com/kjjk/inc,1
en-applehelp.com.jp.service.info.feedback-app.net/session/,1
download.ttrili.com:98/Setup%5B75%5D-rl.exe,1
tools.ietf.org/html/rfc2759,1
homedecor-ma.com/Joomla/components/com_content/views/section/tmpl/4c947281314798/d7ea66a01cf7be29388e9dd9c3fa17b3/love.html,1
www.rudenko.com/robosoft.html,1
www.lkeudanxnguygn.icu/,1
nme.com/artists/list/p,0
www.akanc-co-aksdnyunc.mzhkvkx.cn/,1
mufgzx.com/,1
mzhinvest.co.in/#/login,1
5jvpb9hyjtj9x.guildfordmosque.com/baxbghtan52/,1
media.ch9.ms,0
oecdbookshop.org,0
wilirots.biz/amcntrlde/webscr_prim.php?d2lsaXJvdHMuYml6uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM0NDk1NzQyMQ,1
desktop.google.com/zh/,0
bdfxb.com/web/,1
freetalklive.com,0
cdbaby.com/cd/replicator5,0
www.hsqxx.com/js/?amp;us.battle.net/login/en/?ref=http/::us.battle.net:d3:en:index&amp;amp;app=com-d3,0
atlasti.com,0
tech.groups.yahoo.com/group/SpaceJUG/,1
mwjkxgz.cn/?etc/rp=/login,1
broussard-scholarship.org/scholar.html,0
tiftonbeasley.blogspot.com/,0
not-valid.billing.exchange-order.com,1
paypal.com.system.secure.verify.server.billing.area.confirm.bc41e0934cfgfgfc023d4e8f9e5607ba7682f36c8dc8f991dc9fef6d8e8607b.rechargeworld.co.in/,1
igkm52.webwave.dev/,1
fcvdsv.caoshao.cn,1
keylife.org/,0
apple.id.placetostaypadamu.biz/?reset,1
monarch-butterfly.com/,0
theelephant.info,0
en.wikipedia.org/wiki/Nice_na_Kokoroiki,0
iledereuinion2025.firebaseapp.com/,1
hiperacesso.com/0/hiper-fatura/inicio/,1
99main.com/~charlief/Blindness.htm,0
bleach.shblueair.cn/pack/,1
amaizoonl.co.jp.asfdrexz.top/jp,1
wy-rock-springs.doctors.at/dr/gerard-p-cournoyer-md-gerardpcournoyermd,0
answers.com/topic/harrison-ford,0
caminote.com/php/dir/ejaya/,1
www.bharattextile.com/library/005001.php,1
ouidad.com,0
rishihospital.com/new11/images,1
brentthelendesign.com/wp-content/themes/twentyeleven/inc/images/admino/remax/remax.com.html,1
l.ly/rlF,1
hallmarkteam.com/prob/done/auth/view/share/,1
mp3lyrics.org/m/martha-wainwright/,0
blog.xamarin.com,0
muchie05.multiply.com/,0
microsoft-comhobby-site.com/,1
three.dmslcfwq.biz/b3010o2a9e\nwww.lavoro24.it/parma/impiegato_ufficio_logistica-54781.html,1
www.theregister.co.uk/2001/02/09/bruce_springsteen_loses_cybersquatting_dispute/,1
tools.ietf.org/html/rfc1258,1
webpremiosevoce.com/comprapremiada/xsl/continuacao.php,1
megakop.si/admin/Image/some-updates-required/Apple/WebObjects/iTunesConnect.html,1
www.aepc1.com/css/login.htm?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;yrrprwdamp;ssl=0&amp;dest,0
www.thistleandbee.com/lists/m-marr.html,0
dataretrieve.ca/references/,0
horizonpersonnelservice.org,1
pollys.design,1
youtube.com/watch?v=2MCTc9daN4Q,0
campkc.com/campkc-content.php?Page_ID=%0A%09%09%09%09%09%09%09++230,0
chenbin19732.cn/jp,1
www.myjeoasebnb.gja902.cn,1
http://www.xmadwater.com.cn/js/?app=com-d3&us.battle.net/login/en/?ref=us.battle.net/d3/en/index,1
performanceoutdooradvertising.com/application/documentos/page/page/proceed.php,1
support-loginoer.tk/login.asp?ref=us.battle.net/account/management/index.xml,1
txellwebs.com/blog/wp-content/scap/0f3b500cdb2f850d4d281318c0d500d1/webscr.html?cmd=_login-run&amp;amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcf0d778878417ad5e76ac7d55b5d95db0f0d778878417ad5e76ac7d55b5d95db0,0
http://paypal-rimborso.com/,1
publicrecords.com/people-search-records/elizabeth-gault,0
www.qualityspecialists.com/iso/iso_9000/iso.htm,0
xerox.web.tr/7623dh3f.exe,1
shmuplations.com,0
blog.teatroacorte.it/lonne/Login.html,1
coengr.co.allen.oh.us/American_Trustees.html,0
condo-owner.com/wp-content/sdaolpu/2012/10/natwest/,1
https://wizmozinteractive.com/images/Icons/mweb.co.za,1
pastehtml.com/view/be0dfcez6.html,0
accesskent.com/NewsRoom/aboutKentCounty.html,0
h4qrpdal25iwe6arsmlm.littlematchagirl.com.au,1
http://dexterlimited.com/wp-admins/login.php,1
"'www.google.ch/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0CDEQFjAA&amp;url=www.lobbyaudit.ge/&amp;ei=V_fVUOOBM9DHswbkwIHQCg&amp;usg=AFQjCNGOmygUx6oDhGgxMQh4T-xYlERcNg&amp;bvm=bv.1355534169,d.Yms'",0
www.uymrt1.shop/,1
www.en.wikipedia.org/wiki/UFC_117,0
www.magyx.com/airports/index.phtml,1
totalcapitol.com/?people_id=440,0
happinesshouses.com/images/digits/pdf,1
9903070.fls.doubleclick.net,0
www.zysyrw.cn/,1
www.hvhrvvz.cn/,1
www.savageranch.com/portal/ativar/plugin/BancodoBrasil/error.php,1
square.site,0
www.securityfocus.com/infocus/1713,1
woodminster.com/,0
mzmyblhtjgiq.top/,1
people.famouswhy.com/joby_baker/,0
web.de/magazine/unterhaltung/adel/royal-baby-2/royal-baby-2-namen-bevorzugen-30615390,0
www.stevefryatt.org.uk/software/float/,0
en.wikipedia.org/wiki/Second_Life,1
bayesclasses.sourceforge.net/Bayes++.html,1
www.ok.hhok.asia/login/en/login.html,1
